year,latitude,longitude,depth,mag
2008,30.869,83.505,10,3.9
2008,36.087,69.194,115.4,3.8
2008,30.732,83.253,10,3.5
2008,4.826,94.262,35,4
2008,33.089,92.076,10,3.3
2008,30.538,83.5,10,3.7
2008,36.159,69.057,31.7,4.3
2008,36.184,69.953,120.5,3.8
2008,30.74,83.637,10,4.2
2008,30.633,83.483,10,4.5
2008,35.732,81.476,10,3.3
2008,36.347,71.05,103.1,3.2
2008,35.277,81.372,10,4
2008,35.327,81.371,10,4.1
2008,36.524,71.131,115,3.8
2008,36.808,70.713,225.2,4.1
2008,29.842,90.45,10,4.4
2008,5.648,95.015,35,4
2008,36.486,71.011,203.6,3.6
2008,33.192,71.937,36,3.4
2008,30.565,69.292,10,3.2
2008,36.505,71.219,74.2,3.2
2008,37.092,72.113,178.2,4.1
2008,34.615,74.003,73.7,3.6
2008,29.765,90.517,10,4.4
2008,36.998,71.398,117.1,4
2008,30.308,83.711,10,3.7
2008,8.657,93.64,44.3,5.2
2008,30.665,83.187,10,3.9
2008,36.564,71.03,117.4,4.3
2008,34.138,69.477,3.6,3.2
2008,36.545,71.152,95.6,3.8
2008,36.183,71.263,80.4,3.4
2008,23.981,91.587,35,3.6
2008,23.77,91.142,35,3.8
2008,34.478,83.494,5.3,4.4
2008,30.254,83.766,34.8,4.5
2008,36.454,71.531,97.3,3.9
2008,10.778,91.66,10,4.3
2008,29.19,88.226,11.6,4.6
2008,30.618,83.125,10,3.7
2008,30.807,83.3,10,3.7
2008,36.583,71.09,201,4.1
2008,10.819,91.892,39,3.9
2008,10.835,91.896,41.6,4
2008,10.837,91.792,38.2,4.6
2008,10.803,91.817,33.3,4.3
2008,10.829,91.701,35,4.6
2008,10.833,91.711,26.7,5.5
2008,10.844,91.785,39.1,4.6
2008,36.138,70.549,98.3,3.9
2008,30.108,83.441,17.2,3.9
2008,12.926,93.287,35,3.8
2008,30.088,83.527,24.1,3.6
2008,30.185,83.621,10,3.7
2008,30.249,83.72,19.8,4.2
2008,27.747,92.777,81.7,3.7
2008,32.11,85.016,10,3.6
2008,30.588,83.252,10,3.4
2008,35.073,81.929,10,3.9
2008,30.755,82.737,10,3.6
2008,13.127,92.555,38.3,4.6
2008,36.37,70.963,149.1,4
2008,36.184,70.119,205.5,4
2008,19.367,95.512,83.1,4.7
2008,19.323,95.221,35,4.1
2008,30.206,67.693,10,3.6
2008,23.023,94.572,108,4.7
2008,35.177,74.543,42.1,3.4
2008,30.427,67.756,10,4.6
2008,35.983,70.979,104.7,4.5
2008,36.024,69.875,166,4
2008,36.457,70.738,196.7,4.4
2008,36.618,71.406,184.2,4.1
2008,36.967,71.317,101.6,4.3
2008,36.427,71.064,96.9,3.7
2008,30.213,67.729,10,3.6
2008,36.482,70.204,212.5,4.9
2008,23.636,87.36,10,4.2
2008,36.463,70.994,99.4,4
2008,36.555,70.935,225.5,4.9
2008,25.817,92.847,50.8,3.9
2008,34.378,85.71,10,4.1
2008,30.725,85.169,10,3.7
2008,30.278,67.721,10,3.4
2008,36.551,71.298,84.5,4.3
2008,30.326,67.761,10,4.6
2008,36.508,70.952,182,4.4
2008,36.361,70.395,57.2,4
2008,33.721,89.571,10,3.6
2008,35.291,77.96,39.2,3.6
2008,30.264,67.688,10,4.3
2008,30.914,83.565,28.1,3.9
2008,36.172,70.052,140,4.5
2008,36.444,71.366,138,4.4
2008,11.271,95.032,10,4.3
2008,36.02,71.19,94.1,3.8
2008,29.922,67.908,10,3.5
2008,36.333,71.154,116.4,3.9
2008,30.4,67.701,10,4.5
2008,36.318,71.041,116.3,4.6
2008,35.314,81.304,10,3.9
2008,36.568,70.076,213,4.3
2008,36.477,68.952,50.5,3.9
2008,12.772,92.234,30,4.1
2008,30.011,67.811,10,3.5
2008,30.282,67.688,10,4.5
2008,4.23,93.03,35,4.3
2008,30.301,67.686,10,3.8
2008,4.649,96.21,35,4.4
2008,35.227,81.222,10,4.1
2008,36.582,71.179,216.1,4
2008,6.988,94.472,125,4.2
2008,16.129,94.632,28.5,4.9
2008,36.203,76.521,35.3,3.5
2008,30.838,67.695,10,3.4
2008,30.498,67.699,10,3.9
